# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
16 0.01 0.1 0.9379762092988576 0.009330399372558681
16 0.1 0.1 0.9477690996603146 0.008333434699859981
16 0.2 0.1 0.9569947955317407 0.007312315662588525
16 0.3 0.1 0.9647239377610269 0.0063754308554862735
16 0.4 0.1 0.9711837837736262 0.005518163995168248
16 0.5 0.1 0.9765727985710985 0.004737138812813535
16 0.6 0.1 0.9810616068930709 0.004029383941498858
16 0.7 0.1 0.984795141075628 0.003391910731531525
16 0.8 0.1 0.987895377267989 0.002821550183909188
16 0.9 0.1 0.990464252603574 0.0023149374452631254
16 1.0 0.1 0.9925865099042204 0.0018685698142749405
16 1.1 0.1 0.9943323269947514 0.001478892668897379
16 1.2 0.1 0.9957596624234202 0.0011423874214572048
16 1.3 0.1 0.9969162970679113 0.0008556483597526715
16 1.4 0.1 0.9978415795729224 0.0006154430106524714
16 1.5 0.1 0.9985678990308716 0.0004187551085792722
16 1.6 0.1 0.9991219153819291 0.00026281157386390643
16 1.7 0.1 0.9995255799066856 0.00014509593714977218
16 1.8 0.1 0.9997969770953317 6.335093109413235e-5
16 1.9 0.1 0.9999510165200117 1.5572853857657498e-5
16 2.0 0.1 1.0 0.0
16 2.1 0.1 0.9999540858649548 1.5097076208193832e-5
16 2.2 0.1 0.9998216687894519 5.953713992596281e-5
16 2.3 0.1 0.9996096906447312 0.00013218225312572313
16 2.4 0.1 0.9993238951535651 0.00023206374592926106
16 2.5 0.1 0.9989690368499453 0.000358362738958074
16 2.6 0.1 0.9985490529174145 0.0005103913764478831
16 2.7 0.1 0.9980672048726428 0.000687575068660368
16 2.8 0.1 0.9975261957350658 0.000889435925295542
16 2.9 0.1 0.9969282672375103 0.0011155774747856457
16 3.0 0.1 0.9962752807496842 0.0013656707014658349
14 0.0 0.1 0.0023474457982073167 0.003453974388435187
14 0.0001 0.1 0.9589988540813611 0.0068160879154730665
14 0.001 0.1 0.9590651981430256 0.006808850655879669
14 0.01 0.1 0.9597232192982689 0.006736708374647889
14 0.1 0.1 0.965788800246535 0.006038526953018027
14 0.2 0.1 0.9715397090496122 0.005313130683770178
14 0.3 0.1 0.9764006093239362 0.004641570031164564
14 0.4 0.1 0.9805065205684809 0.004023990104760899
14 0.5 0.1 0.9839728982989573 0.0034597767768281985
