# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
16 0.3 0.1 11.0 0.38707762107884824 0.0002452075941692708
16 0.3 0.1 11.5 0.386238035315935 0.00026332235160035676
16 0.3 0.1 12.0 0.3861088389658252 0.0002735296516088207
16 0.3 0.1 12.5 0.38566687993307786 0.00026670021896568643
16 0.3 0.1 13.0 0.38485628600805494 0.0003062341445811581
16 0.3 0.1 13.5 0.3849832694753426 0.00033076443003840993
16 0.3 0.1 14.0 0.3839042382310597 0.0003613721827681881
16 0.3 0.1 14.5 0.3847698202702856 0.0003267232296276477
16 0.3 0.1 15.0 0.38404424410185656 0.00035921309172616024
16 0.3 0.3 0.5 0.5304394349183903 8.791194101347357e-5
16 0.3 0.3 1.0 0.5290883436349787 0.00013380942148339005
16 0.3 0.3 1.5 0.5063058845056808 0.0006916082644367071
16 0.3 0.3 2.0 0.4738083311414585 0.0008742788223274541
16 0.3 0.3 2.5 0.4523432191874486 0.000805186667974028
16 0.3 0.3 3.0 0.43707723180380453 0.0007679228280835193
16 0.3 0.3 3.5 0.4254857040742684 0.0007341841992131434
16 0.3 0.3 4.0 0.41683273965779993 0.0006398353194775367
16 0.3 0.3 4.5 0.41078637349854585 0.0005541219206699505
16 0.3 0.3 5.0 0.4043612838201568 0.00046174208790993726
16 0.3 0.3 5.5 0.40028945723620435 0.00035128406675375996
16 0.3 0.3 6.0 0.398555595649191 0.00036192437154996393
16 0.3 0.3 6.5 0.39601481775929726 0.00031879676756757584
16 0.3 0.3 7.0 0.39371694643842164 0.00023089177463330362
16 0.3 0.3 7.5 0.39298518235028035 0.00027462673276788325
16 0.3 0.3 8.0 0.39140635546011693 0.00021364707911880517
16 0.3 0.3 8.5 0.38966555363859684 0.00021549815334696295
16 0.3 0.3 9.0 0.38964978159156005 0.00021629138677597227
16 0.3 0.3 9.5 0.38878584034052044 0.00021849244404073044
16 0.3 0.3 10.0 0.3877518802042145 0.00023843715492223363
