# This file contains the mean IPR and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 for this disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, -log2(IPR), std_error
10 0.3 1.0 2.0 5.0404670893148005 0.013228181933721357
10 0.3 1.0 2.2 4.919958276828738 0.013489780966741447
10 0.3 1.0 2.4 4.82043457277366 0.013694822029430323
10 0.3 1.0 2.6 4.70617518315834 0.013939190180849222
10 0.3 1.0 2.8 4.5749126869531045 0.013482545365336402
10 0.3 1.0 3.0 4.495094816946203 0.014028991963485005
10 0.5 0.0 0.0 4.7208952240202775 0.005146106245648696
10 0.5 0.0 0.2 5.550865532248363 0.0037480586670063207
10 0.5 0.0 0.4 5.73469611684052 0.003019765344842677
10 0.5 0.0 0.6 6.116485457823452 0.002997557714896984
10 0.5 0.0 0.8 6.193722879997542 0.0034724861093490024
10 0.5 0.0 1.0 6.1728709676598195 0.003564924861070597
10 0.5 0.0 1.2 6.114472541448765 0.004021448054878531
10 0.5 0.0 1.4 6.0736959748462915 0.004285766852061797
10 0.5 0.0 1.6 6.043200885031988 0.004990068190965424
10 0.5 0.0 1.8 6.01941174404432 0.006578009862878159
10 0.5 0.0 2.0 6.04510439549321 0.006744712113574252
10 0.5 0.0 2.2 6.06616387844594 0.006518577768319376
10 0.5 0.0 2.4 6.083471483148129 0.006310535693831207
10 0.5 0.0 2.6 6.069504629320889 0.006611618167833023
10 0.5 0.0 2.8 6.072935563739378 0.006697731018847472
10 0.5 0.0 3.0 6.075840814474056 0.006614194721944598
10 0.5 0.1 0.0 4.731807836062967 0.004991972677219859
10 0.5 0.1 0.2 5.557638593309023 0.0034470954698888534
10 0.5 0.1 0.4 5.73429185952176 0.0029932244970109416
10 0.5 0.1 0.6 6.111790573023063 0.002854512029341777
10 0.5 0.1 0.8 6.191529353836282 0.003460601259952106
10 0.5 0.1 1.0 6.171104436083449 0.00383832717669967
10 0.5 0.1 1.2 6.117686931559387 0.0040655855154718805
10 0.5 0.1 1.4 6.071176979920666 0.004587014215844127
10 0.5 0.1 1.6 6.03286832488352 0.0056703036152232445
10 0.5 0.1 1.8 6.032902431956193 0.006320977065177904
10 0.5 0.1 2.0 6.054983663882504 0.006353284029327331
10 0.5 0.1 2.2 6.059443598258393 0.0066089289279896496
10 0.5 0.1 2.4 6.067625442091164 0.006557133487439043
10 0.5 0.1 2.6 6.058989358664335 0.006958104066518662
10 0.5 0.1 2.8 6.055360042394833 0.007230396684611515
10 0.5 0.1 3.0 6.037346542814078 0.0072293888469526476
10 0.5 0.3 0.0 4.736152602532262 0.005278772867446724
10 0.5 0.3 0.2 5.552703004996673 0.003472021793766832
10 0.5 0.3 0.4 5.735714588855231 0.003201912762079965
10 0.5 0.3 0.6 6.117080594522313 0.003172885961927094
10 0.5 0.3 0.8 6.185274881185917 0.0033942065744042983
10 0.5 0.3 1.0 6.161446707121088 0.0035792744794936483
10 0.5 0.3 1.2 6.099340462407325 0.004057030306856755
10 0.5 0.3 1.4 6.040162097270524 0.004857683885277005
10 0.5 0.3 1.6 6.018329287070001 0.005837603201198928
10 0.5 0.3 1.8 5.9905761032657745 0.006671123782973017
10 0.5 0.3 2.0 5.980248638501579 0.007663280589915425
10 0.5 0.3 2.2 5.952751451555134 0.007840012094014635
10 0.5 0.3 2.4 5.9081680879050245 0.007933236860542774
10 0.5 0.3 2.6 5.856063132917412 0.00834891447736713
10 0.5 0.3 2.8 5.786747239613531 0.00986376997882993
10 0.5 0.3 3.0 5.700051979131481 0.010078116820989712
10 0.5 0.5 0.0 4.728673835860468 0.005084774033505137
10 0.5 0.5 0.2 5.535915202927413 0.0037252365496523872
10 0.5 0.5 0.4 5.7493938830029965 0.0035063047057544605
10 0.5 0.5 0.6 6.11825294248838 0.0031724426054955627
10 0.5 0.5 0.8 6.164318716941918 0.0036820486695419855
10 0.5 0.5 1.0 6.10097566354977 0.004041279920610305
10 0.5 0.5 1.2 6.025091578351805 0.0048460575872952315
10 0.5 0.5 1.4 5.940554359236854 0.0062850342001496366
10 0.5 0.5 1.6 5.863995107833528 0.007875046755118202
10 0.5 0.5 1.8 5.787917458135469 0.009581317254635631
10 0.5 0.5 2.0 5.651814602583641 0.011431925936116983
10 0.5 0.5 2.2 5.558154641242856 0.012445337258794185
10 0.5 0.5 2.4 5.401179294167481 0.014292849470644901
10 0.5 0.5 2.6 5.283224167501574 0.01524333618090914
10 0.5 0.5 2.8 5.1464126909458905 0.016484394451024537
10 0.5 0.5 3.0 5.010903960912084 0.016890740166074607
10 0.5 0.8 0.0 4.729739917382573 0.005055846467040187
10 0.5 0.8 0.2 5.522988734582347 0.00378291790034041
10 0.5 0.8 0.4 5.798747395458615 0.004549519621685377
10 0.5 0.8 0.6 6.0828445421457 0.004152253456083008
10 0.5 0.8 0.8 6.030986324981599 0.005531770404179181
10 0.5 0.8 1.0 5.886683911573717 0.007559810235416504
10 0.5 0.8 1.2 5.715700108801515 0.010582682459134525
10 0.5 0.8 1.4 5.559470875024688 0.011694030039194966
10 0.5 0.8 1.6 5.395578280796893 0.013749714710712574
10 0.5 0.8 1.8 5.189963875824506 0.01619042449207589
10 0.5 0.8 2.0 5.064153062924559 0.016041799785052598
10 0.5 0.8 2.2 4.92332101410655 0.016666986236824038
10 0.5 0.8 2.4 4.771100016673283 0.018123875647166877
10 0.5 0.8 2.6 4.603463186447609 0.017683031954309474
10 0.5 0.8 2.8 4.492412547755184 0.016928411478858502
10 0.5 0.8 3.0 4.355599350770302 0.018132366412567966
10 0.5 1.0 0.0 4.736722780085395 0.0049503109262039715
10 0.5 1.0 0.2 5.494953717518474 0.004081277560021348
10 0.5 1.0 0.4 5.851594060565304 0.0051391049000737606
10 0.5 1.0 0.6 5.991498729223559 0.005877622877801908
10 0.5 1.0 0.8 5.847927254124575 0.009456855084308822
10 0.5 1.0 1.0 5.6711764035956 0.011455629323374475
10 0.5 1.0 1.2 5.459345812567 0.01328077828438498
10 0.5 1.0 1.4 5.24385545736942 0.014956427430823718
10 0.5 1.0 1.6 5.075973850437348 0.016115320503762597
10 0.5 1.0 1.8 4.897848125956112 0.01651967757733632
10 0.5 1.0 2.0 4.758641477546059 0.015993200530641214
10 0.5 1.0 2.2 4.60943227277358 0.016455429176150605
10 0.5 1.0 2.4 4.472085079185692 0.01683770544505231
10 0.5 1.0 2.6 4.374512532934423 0.017219027015964887
10 0.5 1.0 2.8 4.200818396263089 0.016605481254110283
10 0.5 1.0 3.0 4.097971734425824 0.016295268463870808
10 0.8 0.0 0.0 4.822918021970014 0.0063534581135491815
