# This file contains the unique energy values and their degeneracies for the Haldane-Shastry model with system size N=36.
# Columns: energy, degeneracy
 
energy, degeneracy
-12564.0 27285756
-12540.0 26675658
-12516.0 26735968
-12492.0 26880730
-12468.0 26375477
-12444.0 27983888
-12420.0 27562880
-12396.0 26520874
-12372.0 28226624
-12348.0 27409832
-12324.0 27031452
-12300.0 28564372
-12276.0 27480896
-12252.0 28076520
-12228.0 29225927
-12204.0 28051806
-12180.0 28168236
-12156.0 28367432
-12132.0 27921464
-12108.0 28144156
-12084.0 29095937
-12060.0 30310328
-12036.0 29553292
-12012.0 28901474
-11988.0 29005652
-11964.0 28328800
-11940.0 29422708
-11916.0 29788272
-11892.0 29798824
-11868.0 31155648
-11844.0 29994533
-11820.0 29366994
-11796.0 30066212
-11772.0 29673244
-11748.0 30615956
-11724.0 31484534
-11700.0 30626307
-11676.0 30547024
-11652.0 30844176
-11628.0 30220788
-11604.0 31226096
-11580.0 32299700
-11556.0 31327549
-11532.0 31641940
-11508.0 31477756
-11484.0 30570464
-11460.0 32247121
-11436.0 32134460
-11412.0 31931660
-11388.0 33608622
-11364.0 32139508
-11340.0 30850260
-11316.0 32509172
-11292.0 33381392
-11268.0 32550376
-11244.0 33025338
-11220.0 33986116
-11196.0 32395170
-11172.0 32935496
-11148.0 34416166
-11124.0 32544024
-11100.0 33300112
-11076.0 34443194
-11052.0 33518774
-11028.0 34253384
-11004.0 34229968
-10980.0 34207640
-10956.0 33835054
-10932.0 33861986
-10908.0 36015616
-10884.0 34944352
-10860.0 34319530
-10836.0 35040708
-10812.0 33907398
-10788.0 35130652
-10764.0 35987492
-10740.0 35790156
-10716.0 36707952
-10692.0 35757245
-10668.0 35133882
-10644.0 35575320
-10620.0 35387374
-10596.0 35934196
-10572.0 36593982
-10548.0 37476532
-10524.0 37170448
-10500.0 35753636
-10476.0 36137810
-10452.0 37143472
-10428.0 37478086
-10404.0 37826920
-10380.0 37166804
-10356.0 35929772
-10332.0 37458832
-10308.0 38879349
-10284.0 38021820
-10260.0 38052484
-10236.0 37312572
-10212.0 37643616
-10188.0 39220064
-10164.0 38335477
-10140.0 39165256
-10116.0 38589188
-10092.0 36694516
-10068.0 40389736
-10044.0 40212206
-10020.0 38097985
-9996.0 39897456
-9972.0 38250596
-9948.0 39235088
-9924.0 41371074
-9900.0 39760050
-9876.0 40426480
-9852.0 39548038
-9828.0 38897080
-9804.0 40754376
-9780.0 40313143
-9756.0 40767080
-9732.0 41179704
-9708.0 40564222
-9684.0 41422808
-9660.0 41404834
-9636.0 40899456
-9612.0 40963836
-9588.0 41111052
-9564.0 41550176
-9540.0 42040482
-9516.0 42308972
-9492.0 41919304
-9468.0 41766090
-9444.0 42143148
-9420.0 42064230
-9396.0 42135095
-9372.0 44275288
-9348.0 43874260
-9324.0 41529116
-9300.0 42959496
-9276.0 42027322
-9252.0 41368324
-9228.0 45232368
-9204.0 45149692
-9180.0 43654528
-9156.0 44339484
-9132.0 42904644
-9108.0 42811600
-9084.0 44700136
-9060.0 44577148
-9036.0 44036142
-9012.0 44622769
-8988.0 45150728
-8964.0 44599964
-8940.0 44978496
-8916.0 45673920
-8892.0 44215984
-8868.0 44822201
-8844.0 46842272
-8820.0 45206880
-8796.0 45380832
-8772.0 47414190
-8748.0 44882178
-8724.0 44897296
-8700.0 46965210
-8676.0 45375428
-8652.0 46584176
-8628.0 48370906
-8604.0 46822608
-8580.0 46423916
-8556.0 46564366
-8532.0 47280056
-8508.0 47955302
-8484.0 46802420
-8460.0 47049528
-8436.0 46573076
-8412.0 47224304
-8388.0 50028781
-8364.0 49059344
-8340.0 48285248
-8316.0 47846464
-8292.0 46438472
-8268.0 48495248
-8244.0 49566970
-8220.0 48898752
-8196.0 48945152
-8172.0 48778100
-8148.0 49699028
-8124.0 48878102
